record_id,source_file,review_book_name,subject,variant,round_no,round_label,book_range,unit_code,chapter_or_scope,scope_detail,record_type,confidence,notes
review_067,IMG_3280.jpg,歷史全,歷史,,15,第15回,第五冊,單元12,近代歐洲的擴張與變革,歐洲的海外探險與擴張／科學革命／啟蒙運動／工業革命,unit,high,
review_068,IMG_3280.jpg,歷史全,歷史,,16,第16回,第五冊,,第五冊複習,第五冊(全),book_review,high,
review_069,IMG_3280.jpg,歷史全,歷史,,17,第17回,第六冊,單元13,現代國家與帝國主義,美國獨立／法國大革命／民族主義的獨立與建國／帝國主義再擴張,unit,high,
review_070,IMG_3280.jpg,歷史全,歷史,,18,第18回,第六冊,單元14,世界大戰與冷戰時代,第一次世界大戰／戰間期的政經局勢／第二次世界大戰／從冷戰走向多元時代,unit,high,
review_071,IMG_3280.jpg,歷史全,歷史,,19,第19回,第六冊,,第六冊複習,第六冊(全),book_review,high,
review_072,IMG_3280.jpg,歷史全,歷史,,20,第20回,1~6冊,,一～六冊複習,一～六冊(全),book_review,high,
review_073,IMG_3281.jpg,公民與社會全,公民與社會,,1,第1回,第一冊,單元1,人性尊嚴、性別與家庭,人性尊嚴／性別／家庭組成／平權家庭,unit,high,
review_074,IMG_3281.jpg,公民與社會全,公民與社會,,2,第2回,第一冊,單元2,學校、社區與部落,學校生活／社區與部落,unit,high,
review_075,IMG_3281.jpg,公民與社會全,公民與社會,,3,第3回,第一冊,,第一冊複習,第一冊(全),book_review,high,
review_076,IMG_3281.jpg,公民與社會全,公民與社會,,4,第4回,第二冊,單元3,公民德性、志願結社與多元文化,社會生活中的公民德性／志願結社／多元文化,unit,high,
review_077,IMG_3281.jpg,公民與社會全,公民與社會,,5,第5回,第二冊,單元4,社會規範、公平正義與社會福利,社會規範／社會變遷下的公平正義／社會福利,unit,high,
review_078,IMG_3281.jpg,公民與社會全,公民與社會,,6,第6回,第二冊,,第二冊複習,第二冊(全),book_review,high,
review_079,IMG_3281.jpg,公民與社會全,公民與社會,,7,第7回,第三冊,單元5-6,國家、公共意見與中央政府,國家／民主政治／公共意見／媒體／權力分立／中央政府,unit,high,
review_080,IMG_3281.jpg,公民與社會全,公民與社會,,8,第8回,第三冊,單元7,地方政府與政治參與,地方政府／政治參與,unit,high,
review_081,IMG_3281.jpg,公民與社會全,公民與社會,,9,第9回,第三冊,,第三冊複習,第三冊(全),book_review,high,
review_082,IMG_3281.jpg,公民與社會全,公民與社會,,10,第10回,第四冊,單元8,憲法、民法與刑法,法律位階／人民基本權利／民法／刑法,unit,high,
review_083,IMG_3281.jpg,公民與社會全,公民與社會,,11,第11回,第四冊,單元9,民事與刑事糾紛的解決,和解／調解／民事訴訟／刑事訴訟,unit,high,
review_084,IMG_3281.jpg,公民與社會全,公民與社會,,12,第12回,第四冊,單元10,行政法規與兒少法律,行政法／保護兒少的法律／少年犯罪,unit,high,
review_085,IMG_3281.jpg,公民與社會全,公民與社會,,13,第13回,第四冊,,第四冊複習,第四冊(全),book_review,high,
review_086,IMG_3281.jpg,公民與社會全,公民與社會,,14,第14回,第五冊,單元11,選擇與資源分配,選擇與機會成本／誘因／資源分配,unit,high,
review_087,IMG_3281.jpg,公民與社會全,公民與社會,,15,第15回,第五冊,單元12-13,競爭、交易、貨幣與勞動參與,廠商競爭／分工與貿易／貨幣與支付方式／勞動參與,unit,high,
review_088,IMG_3281.jpg,公民與社會全,公民與社會,,16,第16回,第五冊,,第五冊複習,第五冊(全),book_review,high,
review_089,IMG_3281.jpg,公民與社會全,公民與社會,,17,第17回,第六冊,單元14,科技、全球化與國際社會,科技發展／全球化／國際社會,unit,high,
review_090,IMG_3281.jpg,公民與社會全,公民與社會,,18,第18回,第六冊,,第六冊複習,第六冊(全),book_review,high,
review_091,IMG_3281.jpg,公民與社會全,公民與社會,,19,第19回,1~4冊,,一～四冊複習,一～四冊(全),book_review,high,
review_092,IMG_3281.jpg,公民與社會全,公民與社會,,20,第20回,1~6冊,,一～六冊複習,全冊總複習,book_review,high,
review_093,IMG_3282.jpg,地理全,地理,,1,第1回,第一冊,單元1,臺灣的位置與影響,絕對位置與相對位置／經緯線與經緯度／臺灣的位置與範圍／地圖閱讀,unit,high,
review_094,IMG_3282.jpg,地理全,地理,,2,第2回,第一冊,單元2,臺灣的地形、海岸與島嶼,形塑地形的作用力／地形的表示方法／臺灣的地形、海岸、離島、土地利用,unit,high,
review_095,IMG_3282.jpg,地理全,地理,,3,第3回,第一冊,單元3,臺灣的氣候與水文,天氣與氣候／臺灣的氣候特色與災害／水文概念與臺灣的河川、水資源利用,unit,high,
review_096,IMG_3282.jpg,地理全,地理,,4,第4回,第一冊,,第一冊複習,第一冊(全),book_review,high,
review_097,IMG_3282.jpg,地理全,地理,,5,第5回,第二冊,單元4-5,臺灣的人口與產業活動,人口成長／人口遷移與分布／人口組成／臺灣的多元族群與人口議題／三級產業,unit,high,
review_098,IMG_3282.jpg,地理全,地理,,6,第6回,第二冊,單元6,臺灣的聚落、交通與區域發展,聚落／交通／臺灣的區域特色與發展,unit,high,
review_099,IMG_3282.jpg,地理全,地理,,7,第7回,第二冊,,第二冊複習,第二冊(全),book_review,high,
review_100,IMG_3282.jpg,地理全,地理,,8,第8回,第三冊,單元7-8,中國,中國的自然環境／人文特色／工業發展與區域差異／經濟發展與全球關連,unit,high,
review_101,IMG_3282.jpg,地理全,地理,,9,第9回,第三冊,單元9,東北亞、世界氣候,亞洲概述／東北亞的自然環境、人文特色與產業發展／世界氣候概述,unit,high,
review_102,IMG_3282.jpg,地理全,地理,,10,第10回,第三冊,,第三冊複習,第三冊(全),book_review,high,
review_103,IMG_3282.jpg,地理全,地理,,11,第11回,第四冊,單元10,東南亞與南亞,東南亞、南亞的自然環境、人文特色、產業活動,unit,high,
review_104,IMG_3282.jpg,地理全,地理,,12,第12回,第四冊,單元11-12,西亞、北非、漠南非洲,西亞與北非、漠南非洲的自然環境、人文特色,unit,high,
review_105,IMG_3282.jpg,地理全,地理,,13,第13回,第四冊,,第四冊複習,第四冊(全),book_review,high,
review_106,IMG_3282.jpg,地理全,地理,,14,第14回,1~4冊,,第一～四冊複習,第一～四冊,book_review,high,
review_107,IMG_3282.jpg,地理全,地理,,15,第15回,第五冊,單元13,歐洲與俄羅斯,歐洲的自然環境、人口與產業發展／歐洲聯盟／俄羅斯,unit,high,
review_108,IMG_3282.jpg,地理全,地理,,16,第16回,第五冊,單元14,美洲,北美洲／中南美洲,unit,high,
review_109,IMG_3282.jpg,地理全,地理,,17,第17回,第五冊,單元15,大洋洲、兩極地區與氣候變遷,三大島群／紐西蘭／澳洲／兩極地區／氣候變遷,unit,high,
review_110,IMG_3282.jpg,地理全,地理,,18,第18回,1~5冊,,第一～五冊複習,第一～五冊,book_review,high,
review_111,IMG_3282.jpg,地理全,地理,,19,第19回,第六冊,單元16,臺灣的地名文化、農業與食品安全,臺灣的地名文化／農業與食品安全,unit,high,
review_112,IMG_3282.jpg,地理全,地理,,20,第20回,1~6冊,,第一～六冊複習,第一～六冊,book_review,high,
review_113,IMG_3283.jpg,英語全乙,英文,乙,1,第1回,B1,第1單元,B1 L1～3,,unit,high,
review_114,IMG_3283.jpg,英語全乙,英文,乙,2,第2回,B1,第2單元,B1 L4～6,,unit,high,
review_115,IMG_3283.jpg,英語全乙,英文,乙,3,第3回,B1,,第一冊複習,第一冊(全),book_review,high,
review_116,IMG_3283.jpg,英語全乙,英文,乙,4,第4回,B2,第3單元,B2 L1～2,,unit,high,
review_117,IMG_3283.jpg,英語全乙,英文,乙,5,第5回,B2,第4單元,B2 L3～4,,unit,high,
review_118,IMG_3283.jpg,英語全乙,英文,乙,6,第6回,B2,第5單元,B2 L5～6,,unit,high,
review_119,IMG_3283.jpg,英語全乙,英文,乙,7,第7回,B1~B2,,一～二冊複習,一～二冊(全),book_review,high,
review_120,IMG_3283.jpg,英語全乙,英文,乙,8,第8回,B1~B2,,聽力複習（一）,一～二冊聽力複習,listening_review,high,
review_121,IMG_3283.jpg,英語全乙,英文,乙,9,第9回,B3,第6單元,B3 L1～2,,unit,high,
review_122,IMG_3283.jpg,英語全乙,英文,乙,10,第10回,B3,第7單元,B3 L3～4,,unit,high,
review_123,IMG_3283.jpg,英語全乙,英文,乙,11,第11回,B3,第8單元,B3 L5～6,,unit,high,
review_124,IMG_3283.jpg,英語全乙,英文,乙,12,第12回,B3,,第三冊複習,第三冊(全),book_review,high,
review_125,IMG_3283.jpg,英語全乙,英文,乙,13,第13回,B4,第9單元,B4 L1～2,,unit,high,
review_126,IMG_3283.jpg,英語全乙,英文,乙,14,第14回,B4,第10單元,B4 L3～4,,unit,high,
review_127,IMG_3283.jpg,英語全乙,英文,乙,15,第15回,B4,第11單元,B4 L5～6,,unit,high,
review_128,IMG_3283.jpg,英語全乙,英文,乙,16,第16回,B4,,第四冊複習,第四冊(全),book_review,high,
review_129,IMG_3283.jpg,英語全乙,英文,乙,17,第17回,B1~B4,,一～四冊複習,一～四冊(全),book_review,high,
review_130,IMG_3283.jpg,英語全乙,英文,乙,18,第18回,B1~B4,,聽力複習（二）,一～四冊聽力複習,listening_review,high,
review_131,IMG_3283.jpg,英語全乙,英文,乙,19,第19回,B5,第12單元,B5 L1～2,,unit,high,
review_132,IMG_3283.jpg,英語全乙,英文,乙,20,第20回,B5,第13單元,B5 L3～4,,unit,high,
review_133,IMG_3283.jpg,英語全乙,英文,乙,21,第21回,B5,第14單元,B5 L5～6,,unit,high,
review_134,IMG_3283.jpg,英語全乙,英文,乙,22,第22回,B1~B5,,一～五冊複習,一～五冊(全),book_review,high,
review_135,IMG_3283.jpg,英語全乙,英文,乙,23,第23回,B1~B5,,聽力複習（三）,一～五冊聽力複習,listening_review,high,
review_136,IMG_3283.jpg,英語全乙,英文,乙,24,第24回,B6,第15單元,B6 L1～2,,unit,high,
review_137,IMG_3283.jpg,英語全乙,英文,乙,25,第25回,B6,第16單元,B6 L3～4,,unit,high,
review_138,IMG_3283.jpg,英語全乙,英文,乙,26,第26回,B6,,第六冊複習,第六冊(全),book_review,high,
review_139,IMG_3283.jpg,英語全乙,英文,乙,27,第27回,B1~B6,,一～六冊複習,一～六冊(全),book_review,high,
review_140,IMG_3283.jpg,英語全乙,英文,乙,28,第28回,B1~B6,,聽力複習（四）,一～六冊聽力複習,listening_review,high,
review_141,,國文複習卷,國文,,1,第1回,,,依當週老師上課進度,,progress_based,,週六國社輔測時段固定一份國文複習卷；範圍依老師上課進度，未來確定後再補
review_142,,國文複習卷,國文,,2,第2回,,,依當週老師上課進度,,progress_based,,
review_143,,國文複習卷,國文,,3,第3回,,,依當週老師上課進度,,progress_based,,
review_144,,國文複習卷,國文,,4,第4回,,,依當週老師上課進度,,progress_based,,
review_145,,國文複習卷,國文,,5,第5回,,,依當週老師上課進度,,progress_based,,
review_146,,國文複習卷,國文,,6,第6回,,,依當週老師上課進度,,progress_based,,
review_147,,國文複習卷,國文,,7,第7回,,,依當週老師上課進度,,progress_based,,
review_148,,國文複習卷,國文,,8,第8回,,,依當週老師上課進度,,progress_based,,
review_149,,國文複習卷,國文,,9,第9回,,,依當週老師上課進度,,progress_based,,
review_150,,國文複習卷,國文,,10,第10回,,,依當週老師上課進度,,progress_based,,
review_151,,國文複習卷,國文,,11,第11回,,,依當週老師上課進度,,progress_based,,
review_152,,國文複習卷,國文,,12,第12回,,,依當週老師上課進度,,progress_based,,
review_153,,國文複習卷,國文,,13,第13回,,,依當週老師上課進度,,progress_based,,
review_154,,國文複習卷,國文,,14,第14回,,,依當週老師上課進度,,progress_based,,
review_155,,國文複習卷,國文,,15,第15回,,,依當週老師上課進度,,progress_based,,
review_156,,國文複習卷,國文,,16,第16回,,,依當週老師上課進度,,progress_based,,
review_157,,國文複習卷,國文,,17,第17回,,,依當週老師上課進度,,progress_based,,
review_158,,國文複習卷,國文,,18,第18回,,,依當週老師上課進度,,progress_based,,
review_159,,國文複習卷,國文,,19,第19回,,,依當週老師上課進度,,progress_based,,
review_160,,國文複習卷,國文,,20,第20回,,,依當週老師上課進度,,progress_based,,
review_161,,國文複習卷,國文,,21,第21回,,,依當週老師上課進度,,progress_based,,
review_162,,國文複習卷,國文,,22,第22回,,,依當週老師上課進度,,progress_based,,
